kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,path_gambar,deskripsi_bersih
mall,Mall Kelapa Gading,-6.1574342,106.9083434,"Mall Kelapa Gading, Jalan Boulevard Raya, RW 18, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus ibukota Jakarta, Jawa, 14240, Indonesia",,Daerah Khusus ibukota Jakarta,"Mall Kelapa Gading, Daerah Khusus ibukota Jakarta, nan",gambar_wisata/Mall_Kelapa_Gading,
mall,Mall Lembuswana Samarinda,-0.4751019,117.1472198,"Mall Lembuswana, Jalan Mayor Jenderal S. Parman, Gunung Kelua, Samarinda Ulu, Samarinda, Kalimantan Timur, Kalimantan, 75243, Indonesia",Kalimantan Timur,Samarinda,"Mall Lembuswana Samarinda, Samarinda, Kalimantan Timur",gambar_wisata/Mall_Lembuswana_Samarinda,"Big Mall Samarinda adalah salah satu pusat perbelanjaan di Samarinda, Kalimantan Timur. Terletak di tepi Sungai Mahakam, mal yang dibuka pada tahun 2014 ini dibangun oleh PT Borneo Inti Graha dan dikelola oleh PT Tata Optima Property, keduanya merupakan anak-anak usaha dari Govindo Group."
mall,Mall Mamuju,-2.669206,118.8917557,"Mamuju Town Square, Lorong Rawa Indah, Mamuju, Sulawesi Barat, Sulawesi, 91515, Indonesia",Sulawesi Barat,Mamuju,"Mall Mamuju, Mamuju, Sulawesi Barat",gambar_wisata/Mall_Mamuju,"Agora Mall adalah sebuah pusat perbelanjaan di Tanah Abang, Jakarta Pusat. Terletak di Jalan M.H. Thamrin, mal ini menempati lantai-lantai podium dari Autograph Tower dan Luminary Tower, dua gedung pencakar langit yang membentuk kawasan terpadu Thamrin Nine karya PT Putragaya Wahana."
mall,Mall Mesra Samarinda,-0.5010971,117.1465089,"Mesra Indah Mall, Jalan Jamrud, Pasar Pagi, Samarinda Kota, Samarinda, Kalimantan Timur, Kalimantan, 75129, Indonesia",Kalimantan Timur,Samarinda,"Mall Mesra Samarinda, Samarinda, Kalimantan Timur",gambar_wisata/Mall_Mesra_Samarinda,"Big Mall Samarinda adalah salah satu pusat perbelanjaan di Samarinda, Kalimantan Timur. Terletak di tepi Sungai Mahakam, mal yang dibuka pada tahun 2014 ini dibangun oleh PT Borneo Inti Graha dan dikelola oleh PT Tata Optima Property, keduanya merupakan anak-anak usaha dari Govindo Group."
mall,Mall Plaza Balikpapan,-1.2781938,116.8398348,"The Plaza Balikpapan, Jalan Jenderal Sudirman, Klandasan Ilir, Balikpapan Kota, Balikpapan, Kalimantan Timur, Kalimantan, 76121, Indonesia",Kalimantan Timur,Balikpapan,"Mall Plaza Balikpapan, Balikpapan, Kalimantan Timur",gambar_wisata/Mall_Plaza_Balikpapan,"Plaza Balikpapan adalah pusat perbelanjaan yang ada di Balikpapan. Didirikan pada tahun 1992, Plaza Balikpapan merupakan mal pertama yang ada di Balikpapan."
mall,Mall Ratu Indah,-5.1532849,119.4173215,"Mall Ratu Indah, Jalan Sam Ratulangi, Mamajang Luar, Mamajang, Makassar, Sulawesi Selatan, Sulawesi, 90131, Indonesia",Sulawesi Selatan,Makassar,"Mall Ratu Indah, Makassar, Sulawesi Selatan",gambar_wisata/Mall_Ratu_Indah,"Mal Ratu Indah, disingkat sebagai MaRI, adalah sebuah pusat perbelanjaan di Makassar, Sulawesi Selatan. Didirikan pada tahun 1999, mal ini mencetak sejarah sebagai mal pertama yang hadir di Makassar."
mall,Mall Samarinda Central Plaza,-0.5035318,117.1550694,"Samarinda Central Plaza (SCP), Jalan Pulau Irian, Pelabuhan, Samarinda Kota, Samarinda, Kalimantan Timur, Kalimantan, 75381, Indonesia",Kalimantan Timur,Samarinda,"Mall Samarinda Central Plaza, Samarinda, Kalimantan Timur",gambar_wisata/Mall_Samarinda_Central_Plaza,"Big Mall Samarinda adalah salah satu pusat perbelanjaan di Samarinda, Kalimantan Timur. Terletak di tepi Sungai Mahakam, mal yang dibuka pada tahun 2014 ini dibangun oleh PT Borneo Inti Graha dan dikelola oleh PT Tata Optima Property, keduanya merupakan anak-anak usaha dari Govindo Group."
mall,Mall Sulteng,-0.8834237,119.8426033,"Palu Grand Mall, Jalan Diponegoro, Kecamatan Ulujadi, Palu, Sulawesi Tengah, Sulawesi, 94221, Indonesia",Sulawesi Tengah,Palu,"Mall Sulteng, Palu, Sulawesi Tengah",gambar_wisata/Mall_Sulteng,"Kabupaten Poso adalah sebuah kabupaten yang berada di provinsi Sulawesi Tengah, Indonesia. Kabupaten ini mempunyai luas wilayah 7.112,25 km  dan berpenduduk sebanyak 248.325 jiwa (2021) dan Ibu kota kabupaten terletak di Kota Poso."
mall,Mall Tanjung Bunga,-5.1695829,119.3907241,"Mall GTC, Jalan Metro Tanjung Bunga, Tanjung Merdeka, Tamalate, Makassar, Sulawesi Selatan, Sulawesi, 90134, Indonesia",Sulawesi Selatan,Makassar,"Mall Tanjung Bunga, Makassar, Sulawesi Selatan",gambar_wisata/Mall_Tanjung_Bunga,"Kota Makassar (Lontara Makassar:    , transliterasi: Kota Mangkasara'), sebelumnya bernama Ujung Pandang (nama benteng suku makassar), adalah ibu kota provinsi Sulawesi Selatan, Indonesia. 
Sebelumnya, kota yang sejak 1971 hingga 1999 dikenal secara resmi sebagai Ujung Pandang ini merupakan kota terbesar di wilayah Indonesia Timur dan pusat kota terbesar ketujuh di Indonesia dari jumlah penduduk setelah Jakarta, Surabaya, Medan, Bandung, Semarang, dan Palembang."
mall,Mall Ternate,0.7914972,127.3905435,"Jatiland Mall, Jalan Sultan Iskandar Muhammad Djabir Syah, Santiong, Ternate, Maluku Utara, Maluku, 97712, Indonesia",Maluku Utara,Ternate,"Mall Ternate, Ternate, Maluku Utara",gambar_wisata/Mall_Ternate,"Kota Ternate adalah sebuah kota yang terletak di Provinsi Maluku Utara, Indonesia. Kota Ternate berada di bawah kaki gunung api Gamalama di Pulau Ternate."
